"Date","City","State","Type","Description"
"01/01/2013","Atlanta","GA","Assault","Atlanta police are investigating whether the 19-year-old man accused of stabbing five people at a New Year's Eve party in the Atlanta neighborhood of Reynoldstown may have been the target of an anti-gay slur during a confrontation at the late-night celebration. (via: http://www.thegavoice.com/news/atlanta-news/5660-new-years-eve-stabbing-provoked-by-anti-gay-slur)"
"01/01/2013","Bangor","ME","Harassment","A Bangor man who asked another man if he wanted to join in on “getting” two gay men walking in front of him before showing the man and his girlfriend a knife he was carrying could face more than criminal threatening and trespass charges. Bangor police Officer Richard Polk arrested Ryan David Lane, 19, of Bangor and charged him with carrying a concealed weapon, criminal threatening and terrorizing for his part in a threatening incident on New Year’s Eve in downtown Bangor, according to Bangor police Sgt. Paul Edwards."
"01/01/2013","East Garden","NY","Vandalism","A swastika and an anti-Semitic phrase were written in lip balm on a door in a shopping center."
"12/18/2012","Colorado Springs","CO","Vandalism","Colorado Springs police are investigating an apparent hate crime. Officers responded to a call at an address near Allegheny Drive and Rockrimmon Boulevard at 1:40 p.m. Tuesday where a Menorah display was spray-painted with a Swastika. Police call the incident a biased, motivated criminal mischief and anti-Semitic crime. Police ask that anyone who has information call 444-7000 or Crime Stoppers at 634-7867. Read more: http://www.gazette.com/articles/police-148678-crime-call.html#ixzz2FhY2pC8X"
"12/18/2012","Sayreville","NJ","Assault","Federal agents on Tuesday arrested a Waretown man and an East Windsor man, both purported to be white supremacists, and charged them with hate crimes in connection with an attack on three Egyptian men in Sayreville. Christopher Ising, 31, of Waretown and Michael Gunar, 27, of East Windsor were picked up by FBI agents after being charged in an indictment handed up by a federal grand jury sitting in Newark. (via http://www.app.com/article/20121218/NJNEWS14/312180103/Waretown-man-charged-hate-crime-Sayreville-attack)"
"12/14/2012","Upper Ojai","CA","Legal Developments","Ventura County sheriff's deputies said they arrested four people Wednesday in connection with hate crimes that occurred three months ago at two campgrounds in Rose Valley. Authorities also arrested a suspect in September, about two weeks after the incident. Deputies said that on Wednesday they arrested Kirk Smets, 19; Andrew Martin, 20; Forrest Darrough, 20, and Mya Braschler, 20. All were from Ventura. Ryan Vanausdell, 37, of Oak View, was arrested Sept. 27, authorities said. Authorities said that while serving a search warrant at Vanausdell's residence in the 90 block of Calle Cinco de Mayo in Oak View, deputies seized two assault weapons, two rifles, two shotguns, one handgun and high-capacity ammunition magazines. Detectives said they also seized a large quantity of illegal ammunition. On Sept. 7, deputies from the Ojai sheriff's station responded to call about an attack at the Middle Lions Campground near Highway 33 in the Upper Ojai area. Sheriff's deputies said several people had been attacked with baseball bats at the campground by people using racial slurs toward the victims and witnesses. One victim suffered a broken arm from the assault. (via http://www.vcstar.com/news/2012/dec/13/5-arrested-in-hate-crimes-in-upper-ojai/#ixzz2F2Svw0BI)"
"12/14/2012","Detroit","MI","Vandalism","When Matthew Robb left for work the morning after the presidential election, he found the words ""N-word-Lover"" and ""congrats the N-word won"" spray-painted in bold yellow letters across the back and both sides of his orange Chevrolet Colorado LT truck. The incident happened in the secured parking garage at his downtown Detroit apartment building. Video cameras show that a single vandal did the damage between 12:30 and 2:00 a.m. on Nov. 7. ""I went into the secured parking garage that requires a key card for access and found racial slurs and racial epithets written all over my truck,"" Robb said. ""I was so happy and excited after the election, and to see this just made my stomach sink,"" Robb said. The APL teacher said he was still in shock later that day when he told his basic law students and co-workers about the incident. (via http://www.freep.com/article/20121213/FREEPHIGH16/312130043/Teacher-finds-his-truck-painted-with-hate)"
"11/09/2012","Reidsville","NC","Vandalism","Sheriff Sam Page says graffiti referencing “KKK” was discovered early Wednesday throughout the campus of Rockingham County High School. (via http://myfox8.com/2012/11/07/sheriff-kkk-graffiti-found-at-rockingham-county-high-school/)"
"11/09/2012","Dallas","TX","Legal Developments","Six people from the Dallas area were arrested Friday as part of a statewide roundup of Aryan Brotherhood of Texas gang members that included four top leaders, according to court documents. The six are Rusty Eugene Duke, 31, a.k.a. “Duke”; Kelley Ray Elley, 36, a.k.a. “Magic”; Kenneth Michael Hancock, 32, a.k.a. “Hancock”; Rebecca Johnson Cropp, 44; James Marshall Meldrum, 40, a.k.a. “Dirty”; and Billy Don Seay, 37, a.k.a. “Big Nasty.” They are among 34 alleged members of the prison-based white supremacist gang who were indicted by a federal grand jury in Houston for conspiring to participate in a racketeering enterprise. (via http://www.dallasnews.com/news/crime/headlines/20121109-six-from-dallas-area-among-those-arrested-in-aryan-brotherhood-sweep.ece)"
"10/30/2012","Des Moines","IA","Legal Developments","A Des Moines woman who claims she was subjected to racial slurs by co-workers, including finding a doll whose face was painted black hanging outside her home with threats to quit her job at Deere & Co., has filed a discrimination lawsuit against the company. (via http://www.businessweek.com/ap/2012-10-31/iowa-woman-sues-deere-alleging-race-discrimination)"
"10/20/2012","Gillette","WY","Leafletting","Some residents in Gillette found more than a Sunday newspaper in front of their homes this weekend. A 32-year-old man called police around 6 a.m. Sunday to report that he found a plastic bag with a rock and a recruitment flier for the Klu Klux Klan on his driveway. Police Lt. Brent Wasson says officers found the same flier on almost every driveway in two subdivisions. Police did not immediately have a suspect. (via: http://billingsgazette.com/news/state-and-regional/wyoming/kkk-fliers-left-in-gillette-subdivisions/article_4f56358d-0608-55e0-9cf4-1d2a70623a81.html#ixzz2B4m3m8ED)"
"10/16/2012","Kamas","UT","Assault","A Summit County man is behind bars after allegedly assaulting two people after finding them in a same-sex romantic encounter. Summit County deputies say they responded to reports of a fight in Kamas on Wednesday evening. They found three people with cuts and bruises, and ended up arresting 40-year-old Travis Gentry on suspicion of a hate crime assault. (via http://www.standard.net/stories/2012/10/19/man-charged-hate-crime-assaulting-gays-kamas)"
"10/15/2012","Sandusky","OH","Vandalism","Police in northern Ohio say they are investigating racist graffiti scrawled in chalk in front of a college basketball coach's house. Police say vandals wrote ""white power"" along with a swastika on the sidewalk in front of Bowling Green State University basketball coach Louis Orr's home over the weekend. Orr is black Orr, the team's coach since 2007, declined to comment through a university spokesman who said this is the first time anything like this has happened to the coach since he's been at Bowling Green. A police spokesman said he hopes someone in the community will come forward with information about who did it. (Via Newsday: http://www.newsday.com/sports/college/college-basketball/racist-graffiti-scrawled-at-ohio-coach-s-house-1.4120138)"
"10/11/2012","Bay City","MI","Assault","A white Bay City man has been charged with committing a hate crime, accused of the racially motivated beating of a black man. Twenty-four-year-old Justin Bouza was due in court Thursday for a preliminary examination to decide if he should stand trial on charges of ethnic intimidation and aggravated assault. The intimidation charge carries up to two years in prison. Mlive.com reports that authorities say Bouza and a 21-year-old man attacked 26-year-old Jeremy Love about 2:45 a.m. on Aug. 12. Police say they found Love lying on the ground, bleeding and groggy. He was treated for a concussion. Witnesses say Bouza and his companion used racial slurs while punching and kicking Love on the ground. Bouza was in jail Thursday, and there's no phone listing for him.
From: http://www.detroitnews.com/article/20121011/METRO/210110479#ixzz295nhBJYr"
"10/10/2012","Reno","NV","Assault","Authorities in Reno, Nev., are investigating a possible hate crime where a man allegedly attacked a woman and stabbed her male friend on the streets of downtown Reno on Thursday because she is a lesbian, the Reno Gazette-Journal reports. For more information: http://www.edgeonthenet.com/news/crime/news/138071/police_call_reno,_nev,_street_attack,_stabbing_a_hate_crime (Via edgeonthenet.com)"
"10/10/2012","Memphis","TN","Assault","A woman claiming to be a 'Sovereign Citizen' was arrested after she refused to exit her vehicle during a traffic stop and drove away, hitting two Memphis officers in the process. From: http://www.abc24.com/news/local/story/Sovereign-Citizen-Refuses-Traffic-Stop-Hits/XDLO6lqd70eW3dOd6cA5_A.cspx"
"10/07/2012","Arlington","TX","Arson","A Tarrant County grand jury has indicted four teens accused of writing anti-gay slurs and other vulgar messages on vehicles and homes in an Arlington neighborhood. The June 10 case involved at least 13 criminal mischief incidents near the 1100 block of Crowley Road in Arlington. Grand jurors returned the indictments of graffiti causing $1,500 to $20,000 against John Austin Cartwright, 17, of Arlington; Daniel Damian Sibley, 18, of Fort Worth; Seth Stephen Hatcher, 18, of Arlington; and Morgen Rae Aubuchon, 18, of Arlington. The charge is a state jail felony. Trials are now pending for the four teens, according to Tarrant County criminal court records. A fifth teen, a 16-year-old girl, surrendered to authorities in late June and was turned over to Tarrant County juvenile authorities. She is not being identified because she is a juvenile. The status of the juvenile charges against her was unavailable on Monday. Home surveillance cameras caught the teens in the act, Arlington police have said. Police are treating the case as a hate crime. Via the Fort Worth Star-Telegram: http://www.star-telegram.com/2012/10/01/4302027/teens-accused-of-writing-anti.html#storylink=cpy"
"10/02/2012","Wynne","AR","Vandalism","The Wynne School Board has expelled two junior varsity football players who were accused of placing a noose around the neck of a black student. The board met in executive session Wednesday and decided to expel the two students for the rest of the semester. The Jonesboro Sun reports (http://is.gd/IAiVeH ) that it's a lesser punishment that the one recommended by Superintendent Carl Easley, who supported expulsion for the rest of the school year. Few details have been released about the alleged incident. Family members have said the white students placed a noose around the 14-year-old black student's neck, but authorities have not confirmed that account. More than 150 people attended the hearing. Many were angered by the board's decision, and Wynne police were called in to calm the crowd. Via SFGate.com: http://www.sfgate.com/news/article/Wynne-school-board-expels-2-after-investigation-3918784.php#ixzz28irQlMgI"
"09/25/2012","Tehama","CA","Legal Developments","Nicolas Brendon Madison, 21, was arrested on charges of suspicion of a hate crime and gang participation after he allegedly threatened a store clerk and made racist statements."
"09/25/2012","Bangor","ME","Legal Developments","Three teens were arrested for spray-painting swastikas and anti- Semitic graffiti on two synagogues on Sept. 21. Two of the teens face felony aggravated criminal mischief charges and the other youth was charged with misdemeanor criminal mischief/vandalism."
"09/23/2012","Buffalo","MN","Vandalism","Wade Murray, 30, was charged with felony vandalism for allegedly throwing rocks and leaving anti-gay posters at four churches."
"09/21/2012","Marietta","OH","Vandalism","A swastika and the letters `KKK` were spray-painted in a parking lot."
"09/20/2012","Bangor","ME","Vandalism","Swastikas and anti-Semitic graffiti were spray-painted on two synagogues."
"09/20/2012","Bay Shore","NY","Vandalism","Anti-Muslim epithets were spray- painted on a mosque."
"09/20/2012","Fort Worth","TX","Assault","""Earnest Lackey boasted that he was a member of the Aryan Brotherhood.

But Ronnie Freeman Jr. didn't believe Lackey, and he made the 34-year-old Burleson man pay for it, Tarrant County sheriff's investigators say.

In July, Lackey was choked, kicked, hog-tied with a yellow cord, beaten and sexually tortured with a soldering iron by Freeman and two other men who also claim membership in the white supremacist gang, according to arrest warrant affidavits obtained by Star-Telegram on Tuesday.""

-Via the Fort Worth Star Telegram"
"09/16/2012","New York","NY","Assault","A man who was with his transgendered girlfriend was allegedly attacked by another man who used anti-gay slurs. Keith Patron, 44, was charged with assault as a hate crime."
"09/14/2012","West Hartford","CT","Threat","Michael Germain, 68, was charged with hate crimes, breach of peace and threatening after he allegedly threatened to punch a Muslin woman because of her ethnicity."
"09/13/2012","Harrisburg","VA","Vandalism","Racial and ethnic slurs and sexually explicit images were spray-painted on an Islamic center."
"09/12/2012","Chicago","IL","Assault","Two men walking along the lakefront were allegedly verbally assaulted by two men who believed the pair was gay. A Cook County prosecutor was stabbed after trying to stop the incident from escalating into a physical assault."
"09/11/2012","Spokane","WA","Assault","A white man allegedly yelled racial slurs at three black teens, chased them and threatened them with a gun, firing at least one shot. Jimmy J. Blackburn, 29, was charged with attempted second- degree murder."
"09/09/2012","Gainesville","FL","Vandalism","An anti-gay slur was scratched into a University of Florida professor's car."
"09/06/2012","Lake Chelan","WA","Vandalism","Cars belonging to a group of Muslim students vacationing at a lake were vandalized and had racial slurs etched into them."
"09/05/2012","Manalapan","NJ","Vandalism","Swastikas and the words `Kill the Jews` were painted on residences in a predominantly Jewish neighborhood."
"09/03/2012","Incomplete","CA","Assault","Four Marine Corps members attacked a man outside a popular local gay bar."
"08/31/2012","Sacramento","CA","Vandalism","Graffiti was sprayed at Natomas park. The vandalism included swastikas, gang signs and anti-gay messages."
"08/31/2012","Tinley Park","IL","Assault","A white man allegedly yelled racial slurs and attacked a black man who was working near his home. Joseph Berndt, 47, was charged with a felony hate crime and aggravated assault and battery."
"08/30/2012","Sacramento","CA","Vandalism","Swastikas, anti-gay epithets and gang signs were spray-painted throughout a park."
"08/28/2012","Monnmouth","IL","Vandalism","A racial slur was carved into the door of a predominantly black church."
"08/28/2012","Monmouth","OR","Vandalism","A racial slur was carved into the door at St. James African Methodist Episcopal Church. The incident was listed as a hate crime in the department’s daily service call log."
"08/27/2012","Claremont","CA","Vandalism","An anti-gay slur was spray-painted on the garage of a residence where a gay person rents a room."
"08/23/2012","Savannah","GA","Assault","A white man walking with his black girlfriend allegedly was attacked by three black men who made racist remarks."
"08/22/2012","Shasta Lake","CA","Assault","A reported self-proclaimed white supremacist allegedly yelled `white pride,` threatened to kill an 18-year-old Native American and his two cousins and then punched the teen. The man allegedly later threatened the teen's mother with a gun."
"08/22/2012","Fort Dodge","IA","Vandalism","Racist epithets were spray-painted on a black family's mobile home."
"08/20/2012","Interlochen","MI","Vandalism","A swastika and racist graffiti were painted in the middle of a neighborhood intersection."
"08/20/2012","Rochester","MN","Threat","A white man allegedly yelled racial slurs and threatened a Somali woman in a grocery store parking lot, then attempted to hit her with his car."
"08/18/2012","Staten Island","NY","Harassment","Packages of uncooked bacon were strewn around a park where hundreds of Muslims were celebrating Ramadan."
"08/16/2012","Redding","CA","Vandalism","Anti-gay graffiti was written on a gay man's residence."
"08/15/2012","Coral Springs","FL","Vandalism","A swastika and two pentagrams were painted on a bus belonging to a synagogue."
"08/13/2012","Cape Girardeau","MO","Legal Developments","A gay woman was allegedly attacked at her home by a 17-year-old girl who yelled anti-gay slurs. Mercedes Ayers was charged with a hate crime and burglary."
"08/11/2012","Alameda","CA","Vandalism","Swastikas were scrawled on several cars in a neighborhood. David Desruisseau, 34, was arrested on suspicion of vandalism, stalking and committing a hate crime."
"08/10/2012","St. Paul","MN","Vandalism","A car window was smashed by a golf ball with a gay slur written on it. The car was parked at a church that was celebrating an openly gay pastor."
"08/09/2012","Sacramento","CA","Assault","A man was allegedly called anti-gay epithets by four men and then beaten by one of them outside a light rail train stop."
"08/08/2012","Omaha","NE","Vandalism","A racist message about a black Congressional candidate was spray- painted on a garage door. Martha Dewitt, 78, was cited for destruction of property."
"08/05/2012","Joplin","MO","Arson","A mosque was set afire."
"08/05/2012","New York","NY","Assault","A man was allegedly punched by another man who used an anti-gay slur."
"08/02/2012","Hayward","CA","Vandalism","Four teens, ages 13 to 16, were arrested on suspicion of defacing property and a hate crime for allegedly throwing lemons at a local mosque, striking at least one person."
"08/01/2012","Monroe","CT","Harassment","A group of four white teens in a car allegedly yelled racial slurs at a black man and threw a milkshake at him."
"07/31/2012","Beacon Hill","WA","Assault","At least three people were allegedly attacked by a man who yelled racist slurs. Eric Gibbs, 37, was charged with committing a hate crime."
"07/30/2012","Belleville","IL","Vandalism","Codie M. Engelke, 18, was charged with one count of burglary, one count of criminal damage to property and one count of hate crime after he allegedly vandalized a church and wrote a racial epithet inside."
"07/29/2012","Port St. Joe","FL","Assault","Walton Henry Butler, a 59-year- old white man, allegedly shot a black man in the head after the man confronted Butler about racial remarks Butler reportedly made to black children in their apartment complex. Butler, who allegedly used a racial epithet to describe the victim to police, was charged with attempted murder with a hate crime enhancement."
"07/26/2012","Crawfordville","FL","Vandalism","A swastika and racist symbols and remarks were painted inside a church that was vandalized."
"07/24/2012","Arkana","AR","Vandalism","The words `White Power,` the letters `KKK` and anti-religious graffiti were spray-painted inside a church."
"07/24/2012","Waymart","PA","Legal Developments","Five people allegedly yelled racial epithets, destroyed property and shot paintballs at campers at a Jewish summer camp several times in July. Mark Trail, 21; Tyler Spencer and Cassandra Robertson, both 18; and two juveniles face numerous charges including ethnic intimidation, terroristic threats and riot."
"07/23/2012","Beech Grove","IN","Leafletting","Fliers from the United Northern and Southern Knights of the Ku Klux Klan were left in driveways."
"07/23/2012","Independence","MO","Legal Developments","Charles Wilhelm, 23, was sentenced to 3 1/2 years in prison for conspiracy and violating the Fair Housing Act after he vandalized a biracial man's mobile home with racial slurs in June 2006 and then burned it two days later."
"07/23/2012","Cape Girardeau","MO","Assault","A Missouri teen pleaded guilty to a hate crime Monday months after she and her friends severely beat her gay neighbor. Mercedes Ayers was charged with third-degree assault motivated by discrimination for physically attacking 41-year-old Jeana Terry outside her Cape Girardeau home, the Southeast Missourian reported. The 17-year-old went to Terry's house on July 24th and grabbed her by the arm when she opened the door. Ayers, her two younger siblings, and several friends kicked and punched Terry while shouting homophobic slurs, leaving her with bruising, nausea and dizziness, according to the local paper. In the months following the attack, Ayers denied targeting Terry because of her sexual orientation. The teen said that she went to Terry’s home in response to an altercation she had with Terry and Terry's partner, Lisa Lange, the day of incident. Ayers, however, entered a guilty plea Monday in an agreement that required prosecutors to drop a more serious first-degree burglary charge which carried a maximum 10-year prison sentence. Via NY Daily News: http://www.nydailynews.com/news/crime/teen-pleads-guilty-gay-bashing-article-1.1174339#ixzz28itnc6OC"
"07/23/2012","Jersey City","NJ","Assault","Two women allegedly yelled anti- gay epithets and smashed a bottle on a man's head. Derita Boone, 21, and Jennifer Gilmore, 25, were charged with bias intimidation, aggravated assault and weapons  offenses."
"07/23/2012","Rio Rancho","NM","Vandalism","Racial slurs were spray-painted on the garage of a black man who moved in the neighborhood two months earlier. Other residences in the neighborhood were also spray-painted with graffiti. Jose Campos, 23, was charged with seven counts of criminal damage to property, one of which included a hate crime enhancement."
"07/22/2012","Houston","TX","Legal Developments","Three men were sentenced under a federal hate crime law for attacking a black man at a bus stop in 2011. Brian Kerstetter, 33, received a 77-month sentence; Charles Cannon a 37-month sentence and Michael McLaughlin a 30-month sentence."
"07/21/2012","Washington","DC","Assault","Three men allegedly yelled anti-gay slurs and attacked two other men on the street."
"07/21/2012","Lincoln","NE","Assault","Three people allegedly broke into a gay woman's house, tied her up, carved anti-gay slurs into her skin, spray-painted an anti-gay epithet on her house then set it afire."
"07/20/2012","Indianapolis","IN","Vandalism","A window at a gay bar was shattered during an allegedly bias-motivated drive-by shooting."
"07/20/2012","Oklahoma City","OK","Arson","A gay man was burned when his car was allegedly firebombed by two people. An anti-gay slur was also spray-painted on the vehicle."
"07/17/2012","Orange","CA","Assault","A Latina woman allegedly dumped hot coffee on a black nursing assistant at a medical center and called him racial epithets. Rose Mary Ayala, 38, was charged with one felony count of hate crime battery."
"07/16/2012","West Seattle","WA","Vandalism","A man was charged with malicious harassment and malicious mischief after he allegedly smashed a window of a Muslim community center and said he committed the act because he hates Muslims."
"07/13/2012","Congers","NY","Assault","A white man armed with a steak knife allegedly burst into an apartment, screamed anti-Latino epithets and struck a child in the face. Thomas Cheviot, 53, was charged with three counts of first- degree burglary, assault on a child less than 11 as a hate crime, assault as a hate crime, criminal possession of a weapon, resisting arrest and endangering the welfare of a child."
"07/11/2012","Chicago","IL","Legal Developments","Two white teens, ages 17 and 16, were charged with committing a hate crime, aggravated unlawful restraint, intimidation, aggravated battery and battery in connection with a December 2011 incident. The teenagers, along with Matthew Herrmann, 18, allegedly put a noose around a black high school student's neck, threatened him with a knife and used racial slurs while holding him captive."
"07/10/2012","Eden","NC","Leafletting","A pro-Ku Klux Klan banner questioning the decision not to replace a Confederate statue in  a nearby town was hung near a school."
"07/10/2012","Sleepy Hollow","NY","Vandalism","NY	Sleepy Hollow	2012-07-11	A swastika and anti-Semitic graffiti were spray-painted on a building and tables at a park."
